statement,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,category,elicitation
if we feel a little warm we would not shiver,0,1,0,0,0,0,Natural and physical sciences,category response
if we fight someone else we should punch them on the body,1,0,1,1,1,1,Culture and the arts,category response
if we get on a crowded train they will immediately get off it,0,0,0,0,0,1,General reference,category response
if we get on an empty train we would stand instead of sit,1,1,0,1,1,1,Technology and applied sciences,category response
if we keep doing what we're doing we're going to keep getting what we're getting,1,0,1,1,1,1,Human activities,aphorism
if we leave the building we would neglect to look both ways before crossing the street,0,1,0,1,1,1,Human activities,category response
if we leave the living room we would turn off the lights and the television,1,1,0,0,0,1,People and self,category response
if we pay our debts then we are better able to ask for a loan,0,0,0,0,1,0,Culture and the arts,category response
if we pay someone else's debts they would feel relieved and relaxed,1,1,0,1,0,0,Society and social sciences,category response
if we play rugby we are going to get hit,1,1,0,1,0,1,Health and fitness,category response
if we want to keep our representative working for us we cant be complacent,1,1,0,1,1,1,General reference,campaign email
if we work ourself to the bone we can rest awhile to regain energy,0,1,1,1,0,1,General reference,category response
if we work the night shift we will sleep during the day so that we can be awake for work,1,1,0,1,0,1,People and self,category response
if we work the night shift we would be able to complete it successfully,0,1,0,0,1,1,Culture and the arts,category response
if we work together we can elect new leaders,1,1,0,0,0,0,Society and social sciences,campaign email
if you allow men to use you for your own purposes they will use you for theirs,1,1,1,1,1,1,Philosophy and thinking,aphorism
if you are afraid of being lonely don`t try to be right,1,1,0,1,1,0,Philosophy and thinking,aphorism
if you are afraid of loneliness don`t marry,1,0,1,1,0,0,General reference,aphorism
if you are bitten by a cat you need to disinfect the wound right away as you could get an infection,0,1,0,0,0,0,General reference,category response
if you are lucky enough to have lived in paris as a young man then wherever you go for the rest of your life it stays with you for paris is a moveable feast,1,0,1,1,1,1,People and self,aphorism
if you burn wood you make smoke,0,1,0,0,0,0,Natural and physical sciences,category response
if you can't travel pick up a book about a country and use your imagination,0,0,0,0,1,1,Geography and places,category response
if you chase down everything then you won't finish anything,1,0,1,1,1,1,People and self,aphorism
if you create an act you create a habit if you create a habit you create a character if you create a character you create a destiny,1,1,1,0,0,1,Culture and the arts,aphorism
if you dislike a person it doesn't mean you hate them,0,1,0,1,0,1,General reference,category response
if you do not spare a day to fix the door to your room you will waste three years searching for your money but you will never find it,1,0,0,1,1,1,General reference,aphorism
if you don t know where you are any road will do,1,0,1,1,1,0,General reference,aphorism
if you don't drink for three days you will die,0,0,0,0,0,0,General reference,category response
if you don`t get what you want it`s a sign either that you did not seriously want it or that you tried to bargain over the price,1,1,0,1,1,1,People and self,aphorism
if you eat 3 cheeseburgers after working out you need to work out more to work on those cheeseburgers,1,1,0,0,0,0,Health and fitness,category response
if you eat healthy you will be healthy,0,1,1,1,0,0,Health and fitness,category response
if you exercise more and eat less you will lose weight,1,1,0,0,0,0,Health and fitness,category response
if you find yourself in a hole stop digging,1,0,1,0,1,1,People and self,aphorism
if you have built castles in the air your work need not be lost that is where they should be now put the foundations under them,0,0,1,0,0,1,Culture and the arts,aphorism
if you have health you probably will be happy and if you have health and happiness you have all the wealth you need even if it is not all you want,0,1,0,1,0,1,Health and fitness,aphorism
if you have too many devices using the same router everything is going to slow down,0,0,0,1,0,0,Technology and applied sciences,category response
if you hurt someone they will be less willing to help you,1,1,0,0,1,1,People and self,category response
if you make yourself into a doormat people will wipe their feet on you,0,0,0,0,0,0,Human activities,aphorism
if you put 4 apples into a bucket with 6 apples then the bucket now has 10 apples,0,1,0,1,0,0,Mathematics and logic,category response
if you travel on the globe far enough in one direction you eventually come back to where you started,0,1,0,0,0,0,Geography and places,category response
if you treat someone poorly than they will remember that,1,1,0,1,0,0,Culture and the arts,category response
if you want to compete against someone then you should enter a competition,1,1,0,1,0,1,People and self,Concept Net
if you want to contemplate then you should think,1,0,0,1,1,0,People and self,Concept Net
if you want to dance then you should turn on some music,1,1,0,1,1,1,Human activities,Concept Net
if you want to dive then you should go to a pool,0,1,0,1,0,1,Human activities,Concept Net
if you want to dream then you should fall asleep,0,1,0,1,0,0,Human activities,Concept Net
if you want to eat ice cream then you should buy some ice cream,1,1,0,0,1,1,Human activities,Concept Net
if you want to empty your bladder then you should go to the bathroom,1,1,0,1,1,0,Health and fitness,Concept Net
if you want to enjoy a film then you should go to a cinema,0,1,0,0,1,1,Culture and the arts,Concept Net
if you want to find a lost item then you should search,1,1,0,1,1,1,General reference,Concept Net
if you want to get fit then you should lift weights,0,1,0,1,1,0,Human activities,Concept Net
if you want to get paid then you should get a job,1,1,0,1,0,1,General reference,Concept Net
if you want to go for a drive then you should get in the car,0,1,0,1,0,1,Human activities,Concept Net
if you want to go for a haircut then you should go to the barber,1,1,0,1,1,1,Human activities,Concept Net
if you want to go jogging then you should put on your shoes,0,1,0,0,0,1,Health and fitness,Concept Net
if you want to go to get a haircut then you should go to your barber,1,1,0,1,1,1,Human activities,Concept Net
if you want to have a checkup then you should make a doctor's appointment,1,1,0,1,0,1,Health and fitness,Concept Net
if you want to have a haircut then you should go to the barber,0,1,0,1,0,0,Human activities,Concept Net
if you want to have food then you should eat it,1,1,0,1,1,1,Human activities,Concept Net
if you want to hear testimony then you should go to court,1,1,0,1,1,0,People and self,Concept Net
if you want to hit the bottle then you should drink some alcohol,1,1,0,0,0,0,Culture and the arts,Concept Net
if you want to learn about a subject then you should study it,1,1,0,1,1,1,Human activities,Concept Net
if you want to listen to music then you should play the cd,1,1,0,1,1,1,Culture and the arts,Concept Net
if you want to make people laugh then you should tell joke,1,1,0,1,1,0,Society and social sciences,Concept Net
if you want to pass a class then you should study,1,1,0,1,0,1,Mathematics and logic,Concept Net
if you want to play a guitar then you should take lessons,1,1,0,1,1,0,People and self,Concept Net
if you want to print on the printer then you should turn the printer on,0,1,0,0,0,1,Technology and applied sciences,Concept Net
if you want to program then you should learn a programming language,1,1,0,0,0,0,Philosophy and thinking,Concept Net
if you want to read a book then you should go to the library,1,1,0,0,1,0,General reference,Concept Net
if you want to read a magazine then you should buy a magazine,1,1,0,1,0,1,General reference,Concept Net
if you want to sate your hunger then you should eat food,0,1,0,0,0,1,Human activities,Concept Net
if you want to see art then you should go to an art museum,1,1,0,0,1,1,Culture and the arts,Concept Net
if you want to see old things then you should go to museum,1,1,0,1,1,1,Culture and the arts,Concept Net
if you want to see your favorite show then you should turn on tv,0,1,0,1,1,0,People and self,Concept Net
if you want to send a criminal to prison then you should convict him,1,1,0,0,0,1,Society and social sciences,Concept Net
if you want to shop then you should go to a store,1,1,0,1,1,0,Human activities,Concept Net
if you want to sleep then you should close your eyes,0,1,0,1,0,0,General reference,Concept Net
if you want to stop your bicycle then you should use its brakes,0,1,0,0,0,0,Technology and applied sciences,Concept Net
if you want to succeed you should strike out on new paths rather than travel the worn paths of accepted success,1,1,1,1,1,1,General reference,aphorism
if you want to swim then you should get into the water,1,1,0,0,0,0,Human activities,Concept Net
if you want to take finals then you should attend a class,1,1,0,1,1,1,Human activities,Concept Net
if you want to talk with someone far away then you should phone someone,1,1,0,1,1,0,People and self,Concept Net
if you want to watch television then you should turn the television on,0,1,0,0,0,0,Technology and applied sciences,Concept Net
if you will live like no one else later you can live like no one else,0,0,0,0,0,1,General reference,aphorism
if your only goal is to become rich you will never achieve it,1,0,0,1,0,1,People and self,aphorism
if youre lost the sun rises in the east and sets in the west,0,1,0,1,0,0,Natural and physical sciences,category response
ignorance and indiscipline are the causes of a man s troubles,0,0,0,1,0,0,General reference,aphorism
ignorance is a way to enjoy inconceivable freedom,1,0,1,1,1,1,General reference,aphorism
ignorance is not knowing,1,1,0,1,0,0,Philosophy and thinking,Concept Net
ignorance is the mother of devotion,1,0,1,1,1,1,Human activities,aphorism
ignorance would make you want to find information,1,0,1,0,1,1,People and self,Concept Net
ill stand up for our shared beliefs,1,0,0,1,1,0,Religion and belief systems,campaign email
im running for congress to make sure everyone has the healthcare they need,1,0,0,1,1,1,Society and social sciences,campaign email
images are nearer reality than written descriptions,0,1,0,0,0,1,Religion and belief systems,aphorism
immigrants should be treated like humans,1,1,0,1,1,0,General reference,campaign email
in a time of drastic change it is the learners who inherit the future the learned usually find themselves equipped to live in a world that no longer exists,1,0,1,1,1,1,Philosophy and thinking,aphorism
in addition to holding the families who lost their loved ones close to our hearts,1,1,1,1,1,1,Society and social sciences,campaign email
in any moment of decision the best thing you can do is the right thing the next best thing is the wrong thing and the worst thing you can do is nothing,1,1,0,1,1,1,Society and social sciences,aphorism
in diving to the bottom of pleasure we bring up more gravel than pearls,1,1,1,1,1,1,Culture and the arts,aphorism
in general the art of government consists in taking as much money as possible from one part of citizens to give it to the other,1,0,1,1,1,1,General reference,aphorism
in historic events the so called great men are labels giving names to events and like labels they have but the smallest connection with the event itself,1,0,1,1,1,1,General reference,aphorism
in love the paradox occurs that two beings become one and yet remain two,1,0,1,1,1,1,Philosophy and thinking,aphorism
in nature we never see anything isolated but everything in connection with something else which is before it beside it under it and over it,1,0,0,0,0,1,Natural and physical sciences,aphorism
in order to continue improving humanities quality of life we need to continue advancing in our tech and science fields,1,0,0,1,1,0,Technology and applied sciences,category response
in the field of scientific observation chance favors the prepared mind,1,0,0,0,0,1,Natural and physical sciences,aphorism
in this world there is always danger for those who are afraid of it,1,0,0,0,0,1,History and events,aphorism
in winter it will snow in alaska,0,1,0,0,0,0,Geography and places,category response
in youth we run into difficulties in old age difficulties run into us,0,0,1,1,0,1,History and events,aphorism
incidents of excessive force by the police should be reported,0,1,0,0,0,0,Human activities,news media
increasing access to education and healthcare is fundamental,1,1,0,1,1,1,Health and fitness,campaign email
incumbents don't want competition from outsiders who might charge lesser for the same services,1,0,0,1,0,1,Society and social sciences,news media
individuals should not be able to obtain a firearm without a background check,0,0,0,0,1,1,Human activities,news media
individuals should not be allowed to impersonate job search services,1,0,0,0,0,1,Philosophy and thinking,news media
individuals should pay heed to age ratings on games,1,1,0,1,0,0,Human activities,news media
individuals should support a free open society which allows for growth within a free market economy,0,0,0,0,1,0,Geography and places,news media
individuals shouldn't engage in whataboutism while talking about vaccines,0,1,0,1,0,1,Culture and the arts,news media
individuals with a conscience go to church,1,0,0,1,1,1,Religion and belief systems,news media
infants are small,0,0,0,0,0,0,General reference,category response
inferiority is what you enjoy in your best friends,0,0,0,0,0,1,General reference,aphorism
infinity is not a number,0,1,1,0,0,1,Mathematics and logic,category response
infrastructure should be developed to safely sequester co2,0,0,0,0,0,1,Society and social sciences,news media
ingesting bleach does not help to protect against covid 19,0,0,0,0,1,0,Health and fitness,news media
instead of wondering when your next vacation is maybe you should set up a life you don't need to escape from,1,1,0,1,1,1,General reference,aphorism
interpretation is needed when there it seems to be a conflict of scripture statements and the principles of natural reason,1,0,0,1,0,1,General reference,aphorism
investing in local fields farms and forests not only helps reduce pollution but also helps preserve habitat for birds,0,1,1,0,0,1,Natural and physical sciences,news media
investing in rural infrastructure will improve the quality of life and access to services in rural america,0,0,0,0,1,1,Geography and places,news media
iron rusts from disuse stagnant water loses its purity and in cold weather becomes frozen even so does inaction sap the vigor of the mind,1,1,1,1,1,1,Philosophy and thinking,aphorism
it always seems impossible until it's done,0,0,1,1,1,0,Philosophy and thinking,aphorism
it does not make sense that our sunblock cream and jam is confiscated in the airport but we can immediately repurchase them afterward,0,0,1,0,0,1,History and events,news media
it is a capital mistake to theorize before one has data insensibly one begins to twist facts to suit theories instead of theories to suit facts,0,1,0,0,0,1,Culture and the arts,aphorism
it is a curious thought but it is only when you see people looking ridiculous that you realize just how much you love them,1,0,0,1,1,1,Philosophy and thinking,aphorism
it is a good idea to get in the far lane to avoid an emergency vehicle towing or maintenance equipment a trash hauler or recycling truck,0,0,0,0,0,1,Religion and belief systems,news media
it is a mark of an inexperienced man not to believe in luck,1,0,1,1,1,1,General reference,aphorism
it is always the best policy to speak the truth unless of course you are an exceptionally good liar,0,0,0,1,1,1,Human activities,aphorism
it is always the start that requires the greatest effort,1,1,1,1,1,1,Philosophy and thinking,aphorism
it is best to avoid staying overnight with headhunters when traveling among tribal people,1,0,1,1,1,1,Culture and the arts,category response
it is better to deserve honor and not have it than have it and do not deserve it,1,0,1,1,1,1,Philosophy and thinking,aphorism
it is better to have less thunder in the mouth and more lightning in the hand,0,1,1,1,1,0,Philosophy and thinking,aphorism
it is better to leave alone there is no companionship with a fool,1,1,1,1,1,1,Philosophy and thinking,aphorism
it is better to stay single than to marry badly,1,1,1,0,1,1,General reference,aphorism
it is colder on top of a mountain than in the valley below that mountain,0,1,0,0,0,0,Geography and places,category response
it is cooler in the shade than in the sun,0,1,0,0,0,0,General reference,category response
it is easier to catch a runaway horse than to take back a spoken word,0,0,1,1,1,1,General reference,aphorism
it is easier to push a thing down hill than to push a thing uphill,0,0,1,1,0,1,Health and fitness,category response
it is fun to explore new places,1,1,0,1,1,0,Geography and places,category response
it is good to be a good person,0,0,0,0,0,0,General reference,category response
it is good to be good,1,0,1,1,1,1,General reference,category response
it is good to think things through before you act,1,0,0,1,1,1,Philosophy and thinking,category response
it is hard to fail but it is worse never to have tried to succeed,1,0,0,1,1,1,Philosophy and thinking,aphorism
it is important to eat well and exercise to be healthy,0,1,0,0,0,0,General reference,category response
it is important to protect yourself and stay healthy,1,1,0,1,1,1,Health and fitness,campaign email
it is important to verify company details online before applying for jobs,0,1,0,0,0,1,Culture and the arts,news media
it is impossible to actually prove that god exists unless god wants it to be proven,1,0,0,1,1,1,Religion and belief systems,category response
it is impossible to travel faster than the speed of light and certainly not desirable as one`s hat keeps blowing off,1,0,1,1,1,1,Philosophy and thinking,aphorism
it is inconceivable how much wit it requires to avoid being ridiculous,0,1,1,0,1,1,General reference,aphorism
it is irresponsible for john to do mary's homework,0,0,0,0,1,1,Society and social sciences,category response
it is most unwise for people in love to marry,0,1,1,1,0,0,General reference,aphorism
it is never too late to be what you might have been,1,0,0,1,1,1,Philosophy and thinking,aphorism
it is not just when politicians take sides on criminal cases for political gain,0,0,0,0,0,1,Culture and the arts,news media
it is not necessary to understand things in order to argue about them,0,0,1,1,1,1,General reference,aphorism
it is not so much our friends` help that helps us as the confidence of their help,1,0,1,1,1,1,Philosophy and thinking,aphorism
it is not sufficient to be worthy of respect in order to be respected,1,1,0,1,1,0,Philosophy and thinking,aphorism
it is not the strongest of the species that survive nor the most intelligent but the one most responsive to change,0,1,0,0,0,1,General reference,aphorism
it is not wisdom but ignorance which teaches men presumption,1,1,1,1,1,1,Philosophy and thinking,aphorism
it is often cooler in higher elevations,0,1,0,0,0,0,Natural and physical sciences,category response
it is often easier to ask for forgiveness than to ask for permission,1,1,1,1,1,0,Philosophy and thinking,aphorism
it is often easier to fight for one`s principles than to live up to them,0,0,0,0,0,1,Religion and belief systems,aphorism
it is one of man`s curious idiosyncrasies to create difficulties for the pleasure of resolving them,1,0,1,1,1,0,Philosophy and thinking,aphorism
it is one thing to praise discipline and another to submit to it,1,0,1,1,1,1,People and self,aphorism
it is only imperfection that complains of what is imperfect the more perfect we are the more gentle and quiet we become towards the defects of others,0,0,0,1,0,1,General reference,aphorism
it is only reason that teaches silence the heart teaches us to speak,1,0,1,1,1,0,Culture and the arts,aphorism
it is pointless to ban weapons which are not the primary weapons being used in most gun violence,1,1,0,1,1,1,Religion and belief systems,news media
it is possible to commit no mistakes and still lose that is not a weakness that is life,1,1,0,0,0,1,General reference,aphorism
it is reasonable for children to use technolgy in moderation,1,1,0,1,0,0,Technology and applied sciences,news media
it is shameful for a young man to question an old one,1,0,0,1,1,1,Philosophy and thinking,aphorism
it is the application of science that gives rise to new technology,0,0,0,1,0,0,Technology and applied sciences,category response
it is the brutally outspoken man that earns enmity,1,1,0,1,1,1,General reference,aphorism
it is the part of a good shepherd to shear his flock not to skin it,1,0,1,1,1,1,Philosophy and thinking,aphorism
it is the responsibility of the intellectuals to speak truth and to expose lies,1,1,1,1,1,1,General reference,aphorism
it is the way we react to circumstances that determines our feelings,1,1,0,1,0,1,History and events,aphorism
it is to be remarked that a good many people are born curiously unfitted for the fate waiting them on this earth,1,0,0,0,0,1,General reference,aphorism
it is vital we introduce commonsense gun protection laws,1,0,0,1,1,0,Society and social sciences,news media
it is wise to be honest and admit it when you have lost all your money,0,0,0,0,0,1,Philosophy and thinking,category response
it is wrong to accuse someone of wrong behavior without any evidence,1,0,0,1,1,0,Human activities,category response
it isn warmer near the equator,0,1,0,0,0,0,Geography and places,category response
it s a funny thing about life if you refuse to accept anything but the best you very often get it,1,0,1,1,1,1,Philosophy and thinking,aphorism
it s not the fault of the pig but of the one who scratches his back,0,0,1,1,0,1,History and events,aphorism
it should not be difficult to file complaints of misconduct by the police,1,1,0,1,1,0,General reference,news media
it takes as much energy to wish as it does to plan,1,0,1,1,1,0,Philosophy and thinking,aphorism
it takes something more than intelligence to act intelligently,0,0,1,1,1,1,General reference,aphorism
it would be impossible for someone standing outisde on the ground to easily identify people who dug themselves into a hole,0,0,1,0,1,1,General reference,category response
it would seem that there is not only one world but also many,0,0,0,0,0,1,Natural and physical sciences,aphorism
it's about all of us working together and we can win,0,0,0,1,1,0,Religion and belief systems,campaign email
it's better to hang out with people better than you pick out associates whose behavior is better than yours and you'll drift in that direction,0,1,0,0,0,1,Culture and the arts,aphorism
it's better to live in peace poorly than to be rich and filled with stress,0,1,0,1,1,0,General reference,category response
it's difficult to argue about religious beliefs because they are based on faith,1,0,0,1,1,1,Religion and belief systems,category response
it's important to consider all aspects of our future so we do not repeat the past,1,1,1,1,1,0,General reference,category response
it's not right to give less stimulus money for states who maintain stricter covid 19 measures,0,1,0,0,0,1,People and self,news media
it's not what you know it's when you know it,1,0,1,1,1,0,General reference,aphorism
it's obvious that votebymail should be made accessible to all americans during the covid pandemic,1,0,0,1,1,0,Society and social sciences,campaign email
it's tough to make predictions especially about the future,1,1,0,1,0,1,General reference,aphorism
it`s perfectly understandable that the wolves call for the sheep to be disarmed sheep`s wool offers a certain resistance to the wolf`s bite,0,0,0,0,1,1,Religion and belief systems,aphorism
it`s risky in a marriage for a man to come home too late but it can sometimes pose an even greater risk if he comes home too early,1,0,0,1,1,1,People and self,aphorism
it`s so easy to love the only hard thing is to be loved,1,0,1,1,1,1,Culture and the arts,aphorism
its not an anomaly if it happens all the time,1,1,0,0,0,0,Mathematics and logic,aphorism
its possible to circumvent the earth due to its spherical shape,0,1,1,0,0,1,Natural and physical sciences,category response
its time to get the senate back up and working again,1,0,0,1,1,0,Society and social sciences,campaign email
its time to send kids back to school,1,1,0,0,0,1,Human activities,campaign email
jesus died for our sins,1,1,0,1,1,0,Religion and belief systems,category response
jesus is lord,1,0,0,1,1,0,Religion and belief systems,category response
jesus is one of the primary figures in christianity,0,1,1,1,0,0,General reference,category response
joe will help with gun violence,1,0,0,1,1,1,Religion and belief systems,campaign email
john is agreeable if he takes mary up on the offer,1,1,0,1,1,1,People and self,category response
john is likely to get fired if he has a great boss,0,0,0,1,1,1,Culture and the arts,category response
john is thoughtful because he helps mary's mom,1,1,0,1,0,0,People and self,category response
john keeps up jake's spirits by taking him to do fun things,1,0,0,1,1,0,People and self,category response
john may look up recipes online if he has never cooked before,1,1,0,1,1,1,People and self,category response
john should not believe the news mary brings,1,0,0,0,1,1,Culture and the arts,category response
john will change if mary changes his life,1,0,0,1,1,1,People and self,category response
john will expect mary to be angry if he surprises her,1,1,1,0,1,1,Human activities,category response
john will feel happy if he bothers mary,1,1,0,0,1,1,General reference,category response
john will feel sad if mary impresses his girlfriend,1,1,0,1,1,0,Human activities,category response
john will feel successful if he digs himself into a hole,0,0,0,0,0,0,General reference,category response
john will foolishly get into an argument with mary if she speaks with a forked tongue,0,1,0,0,0,1,Religion and belief systems,category response
john will have good feelings towards mary if she gives him the best gift he had ever gotten,1,1,0,0,0,0,General reference,category response
john will punch mary if she teaches him anything,0,0,0,1,0,1,Culture and the arts,category response
john will thank mary if she passes an examination for him,1,0,0,1,1,1,Human activities,category response
john would assume mary is pranking him if she puts her arms around him,0,0,1,0,1,1,Geography and places,category response
john would be arrested for leaving the town if he forgot to check in with his probation officer,0,1,0,1,0,1,Human activities,category response
john would feel ashamed if mary bothers him too much,0,0,0,0,0,1,Culture and the arts,category response
john would feel remorseful and apologize if he eats mary's bread,1,0,1,0,1,1,Human activities,category response
john would focus on the job when he landed it,1,1,1,1,1,1,People and self,category response
john would laugh on mary's fall if she slipped on a banana peel,1,1,0,1,1,1,People and self,category response
john would make sure to keep quiet and hide all the evidence if he killed mary's brother,0,0,0,0,0,1,Religion and belief systems,category response
john would repeatedly stomp on mary's ankle hoping to set it into place if he broke it,0,0,0,0,0,1,Geography and places,category response
john would start conversation with a smile if he met mary's friend,0,0,1,1,0,1,Culture and the arts,category response
john would stop exercising if he ate healthier,1,1,0,1,0,1,Health and fitness,category response
john would use mary's spare keys if she brouht them to him,1,1,0,1,0,1,People and self,category response
john wouldn't mind if mary decided not to be friends with him,1,1,0,1,1,0,People and self,category response
joke with a fool at home and he will joke with you in the square,1,0,1,1,1,1,People and self,aphorism
josh has the qualities necessary to be a good leader,1,1,0,1,1,1,Society and social sciences,campaign email
just as rainwater doesn t expect anything in return for the nourishment it provides to the flowers sons sharing their wealth are the best of generosity,0,0,1,1,1,1,People and self,aphorism
just because nobody complains doesn`t mean all parachutes are perfect,1,1,0,1,0,1,General reference,aphorism
just because you do not take an interest in politics doesn`t mean politics won`t take an interest in you,1,0,1,1,1,1,Philosophy and thinking,aphorism
just when it seems easy be careful,1,1,1,0,0,1,General reference,aphorism
justice is a temporary thing that must at last come to an end but the conscience is eternal and will never die,1,0,0,1,1,1,Philosophy and thinking,aphorism
justice is entirely dependent of religion,1,0,0,1,1,0,General reference,aphorism
justice is to be found only in the imagination,1,0,1,1,1,0,General reference,aphorism
justice without force is powerless force without justice is tyrannical,0,1,1,1,0,1,Technology and applied sciences,aphorism
kansas is officially in play and that's because of dr bollier,1,1,0,1,1,0,Society and social sciences,campaign email
keeping citizens safe should be a priority,1,1,0,1,1,0,Health and fitness,campaign email
keeping good health and exercising regularly will give you a longer life,0,1,0,1,1,1,Health and fitness,category response
keeping sharp at simple every day math saves you time in the long run,1,1,1,1,0,1,Mathematics and logic,category response
kissing requires lips,0,1,0,0,0,0,People and self,Concept Net
know the brain you have to get the brain you want,1,1,1,1,1,1,Philosophy and thinking,aphorism
knowing about natural and physical sciences we can solve issues that they face each day to help each other live in a better world,1,1,0,1,0,1,Natural and physical sciences,category response
knowing where the north star is in the sky can keep you from getting lost,0,0,0,1,0,1,General reference,category response
knowledge can be communicated but not wisdom,1,0,1,1,1,0,Philosophy and thinking,aphorism
knowledge has no limit,1,1,1,1,1,0,General reference,aphorism
knowledge is of four kinds directly sensuous inferential recollective and supernatural,0,0,0,1,1,1,General reference,aphorism
labor unions and workers rights are necessary,1,0,0,1,1,1,Society and social sciences,campaign email
labour shortages can often push up prices and cause economic recoveries to slow down,1,0,0,0,1,1,Human activities,news media
land masses will continue to shrink as global warming increases glacial melt,0,0,0,1,1,0,Natural and physical sciences,category response
laws are made by man natural laws are made by some higher entity,1,0,0,1,1,1,Religion and belief systems,category response
laws should address irregular migration to help both migrants and impacted commuinties,0,0,0,1,1,0,Culture and the arts,news media
laws should not be struck down easily,1,0,1,1,1,0,Society and social sciences,news media
laws that protect our environment are necessary and supersede politics,1,0,0,1,1,0,Natural and physical sciences,campaign email
laziness would make you want to eat breakfast in bed,1,1,0,1,1,1,People and self,Concept Net
leaders should be able to empathize with their workers during a pandemic,1,1,0,1,1,0,People and self,news media
learning a skill requires practicing that skill,1,1,0,1,0,1,General reference,aphorism
leaving houses and cars unlocked leaves them open to thefts,0,0,0,1,0,1,General reference,news media
leaving the building people are cautious and look both ways before crossing the street,0,0,0,0,0,1,General reference,category response
legislation based on evidence is more effective,1,1,1,0,1,1,Human activities,campaign email
legislation requiring more and stricter background checks is not effective because most criminals are not purchasing their guns legally,1,1,0,1,1,1,Society and social sciences,news media
legislation that focuses on health and safety should be a priority,1,1,0,1,1,0,Society and social sciences,campaign email
legislative proposals on climate change must be actionable,0,0,0,1,0,1,General reference,news media
legislators expand medical care for people during challenging times,1,0,0,0,1,1,Health and fitness,news media
legislators should divide population equally before redistricting,0,1,0,0,0,0,Culture and the arts,news media
let join together and vote for harley's reelection,1,0,0,1,1,0,Society and social sciences,campaign email
let the florida gop know that they have failed us and will soon pay,1,0,0,1,1,1,Society and social sciences,campaign email
let us never negotiate out of fear but let us never fear to negotiate,0,0,1,0,1,1,General reference,aphorism
lets get back to civility and respect for one another,1,0,0,1,1,1,Society and social sciences,campaign email
lets support every time we are asked to,1,0,0,1,1,1,History and events,campaign email
liberals are not good in congress,1,0,0,0,1,1,Culture and the arts,campaign email
liberty is the right to do what the law permits,0,1,0,1,0,0,Society and social sciences,aphorism
life grants nothing to us mortals without hard work,1,0,0,1,1,1,Religion and belief systems,aphorism
life is like an onion you peel it off one layer at a time and sometimes you weep,1,0,1,1,1,0,General reference,aphorism
life is not measured by the number of breaths we take but by the moments that take our breath away,1,0,1,1,1,0,Philosophy and thinking,aphorism
life is not separate from death it only seems that way,0,0,0,1,1,0,General reference,aphorism
life is short,1,0,0,1,0,1,General reference,category response
life must be lived forward but can only be understood backward,1,0,1,0,1,0,General reference,aphorism
life`s a tough proposition and the first hundred years are the hardest,1,0,0,1,1,1,Philosophy and thinking,aphorism
lifting heavy weights tears our muscles forcing them to heal and become stronger in the process,0,1,0,0,0,0,Health and fitness,category response
like the measles love is most dangerous when it comes late in life,1,0,1,1,1,1,Philosophy and thinking,aphorism
listening to music is pleasurable,1,1,0,1,1,0,General reference,Concept Net
live as if you were to die tomorrow learn as if you were to live forever,1,0,1,1,1,0,Philosophy and thinking,aphorism
live simply so others may simply live,1,0,1,1,0,0,Culture and the arts,aphorism
live your life as though your every act were to become a universal law,0,1,0,1,0,1,Philosophy and thinking,aphorism
lizzie fletcher will be a effective leader,1,1,0,1,1,0,People and self,campaign email
local governments should increase civilian oversight of law enforcement,0,0,0,1,1,1,History and events,news media
locksmiths close doors,0,0,0,0,0,1,Culture and the arts,category response
locksmiths open doors when people call them,1,0,0,0,0,0,General reference,category response
logic is a good way to solve problems,1,1,0,0,0,0,Culture and the arts,category response
lonely people in talking to each other can make each other lonelier,1,1,0,1,1,0,People and self,aphorism
long and frequent meeting decrease productivity and efficiency in a company,0,0,0,1,0,1,People and self,news media
long range goals keep you from being frustrated by short term failures,1,1,0,1,1,0,People and self,aphorism
love and scandal are the best sweeteners of tea,0,0,0,1,1,1,General reference,aphorism
love for new york fellow new yorkers abolish the police,1,1,0,1,1,1,Society and social sciences,campaign email
love is a reality which is born in the fairy region of romance,1,1,1,1,1,1,Geography and places,aphorism
love is blind but marriage restores its sight,1,0,1,1,1,0,People and self,aphorism
love is often the fruit of marriage,1,1,1,0,1,0,People and self,aphorism
love makes life meaningful,1,1,1,0,1,0,General reference,category response
love may turn to indifference with possession,1,1,0,1,1,1,General reference,aphorism
love one another,1,1,0,0,0,0,Health and fitness,category response
love would make you want to feed your family,1,0,0,1,1,1,Philosophy and thinking,Concept Net
love would make you want to forgive someone,1,1,1,1,1,0,Culture and the arts,Concept Net
love would make you want to kiss someone,1,1,0,1,1,0,People and self,Concept Net
love would make you want to sing,1,1,1,0,1,0,People and self,Concept Net
lovers become biographers,1,1,1,1,1,1,People and self,aphorism
lying requires more effort than telling the truth because when you lie you have to remember made up details,1,0,0,0,1,0,General reference,category response
mail in ballots are beneficial for our seniors in our community,1,0,0,1,1,0,General reference,campaign email
mail in voting helps to ensure everyone uses their voice safely,1,1,0,1,1,0,Society and social sciences,campaign email
mail in voting should be allowed,1,0,0,1,1,1,Society and social sciences,campaign email
maine needs someone working for them,1,0,0,1,1,0,History and events,campaign email
mainstream media is out of control with its attacks,1,1,0,1,1,1,Society and social sciences,campaign email
make no small plans for they have not the power to stir men`s blood,1,1,1,1,1,1,People and self,aphorism
